Country Name,Country Code,2012
Aruba,ABW,
Andorra,AND,
Afghanistan,AFG,20373173785
Angola,AGO,95375810947
Albania,ALB,12731969980
Arab World,ARB,
United Arab Emirates,ARE,
Argentina,ARG,
Armenia,ARM,11032450564
American Samoa,ASM,
Antigua and Barbuda,ATG,1111799190
Australia,AUS,1346604517709
Austria,AUT,403360736525
Azerbaijan,AZE,57857877037
Burundi,BDI,2389492434
Belgium,BEL,497635028732
Benin,BEN,7514008052
Burkina Faso,BFA,10948372439
Bangladesh,BGD,129266854347
Bulgaria,BGR,49994613827
Bahrain,BHR,
Bahamas The,BHS,7660974826
Bosnia and Herzegovina,BIH,18197367608
Belarus,BLR,61754592070
Belize,BLZ,
Bermuda,BMU,6778371510
Bolivia,BOL,23298880624
Brazil,BRA,2311146343017
Barbados,BRB,4270301218
Brunei Darussalam,BRN,
Bhutan,BTN,1797198272
Botswana,BWA,15338919617
Sub-Saharan Africa (IFC classification),CAA,
Central African Republic,CAF,2287313455
Canada,CAN,1777860177070
East Asia and the Pacific (IFC classification),CEA,
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,647543368597
Channel Islands,CHI,
Chile,CHL,249923484391
China,CHN,7731297081135
Cote d'Ivoire,CIV,24248901161
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,25338109693
Congo Rep.,COG,11069823136
Colombia,COL,334789506668
Comoros,COM,605197676
Cabo Verde,CPV,1894111435
Costa Rica,CRI,42365866059
South Asia (IFC classification),CSA,
Caribbean small states,CSS,61552952906
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,22799240119
Czech Republic,CZE,190532461015
Germany,DEU,3624635182165
Djibouti,DJI,
Dominica,DMA,461608842
Denmark,DNK,334598062972
Dominican Republic,DOM,56254126738
Algeria,DZA,193209390133
East Asia & Pacific (developing only),EAP,9727744804899
East Asia & Pacific (all income levels),EAS,19513760947359
Europe & Central Asia (developing only),ECA,1820349530484
Europe & Central Asia (all income levels),ECS,21591505207132
Ecuador,ECU,80118952819
Egypt Arab Rep.,EGY,240293139576
Euro area,EMU,12645423194689
Eritrea,ERI,2771044222
Spain,ESP,1368804603715
Estonia,EST,21630136887
Ethiopia,ETH,34705709423
European Union,EUU,17124735287596
Finland,FIN,251684168173
Fiji,FJI,3591231184
France,FRA,2742891447826
Faeroe Islands,FRO,
Micronesia Fed. Sts.,FSM,333613418
Gabon,GAB,16390279130
United Kingdom,GBR,2444857276422
Georgia,GEO,14762284784
Ghana,GHA,39423260837
Guinea,GIN,4988781604
Gambia The,GMB,911986475
Guinea-Bissau,GNB,855566638
Equatorial Guinea,GNQ,9982829930
Greece,GRC,262431282850
Grenada,GRD,761496091
Greenland,GRL,
Guatemala,GTM,47086821613
Guam,GUM,
Guyana,GUY,2710014914
High income,HIC,49716480887007
Hong Kong SAR China,HKG,261598877180
Honduras,HND,16820950313
Heavily indebted poor countries (HIPC),HPC,473629744752
Croatia,HRV,57567713937
Haiti,HTI,7691286188
Hungary,HUN,123099541207
Indonesia,IDN,843992800669
Isle of Man,IMN,
India,IND,1955016317208
Not classified,INX,
Ireland,IRL,179462405064
Iran Islamic Rep.,IRN,
Iraq,IRQ,191180504553
Iceland,ISL,12272303480
Israel,ISR,
Italy,ITA,2062540735963
Jamaica,JAM,13897983609
Jordan,JOR,29526999328
Japan,JPN,6107135777982
Kazakhstan,KAZ,164299249531
Kenya,KEN,37173820523
Kyrgyz Republic,KGZ,5542885714
Cambodia,KHM,13038028559
Kiribati,KIR,254237215
St. Kitts and Nevis,KNA,729486407
Korea Rep.,KOR,1133791208238
Kosovo,KSV,6507857851
Kuwait,KWT,
Latin America & Caribbean (developing only),LAC,5221429635472
Lao PDR,LAO,8418463079
Lebanon,LBN,40668309511
Liberia,LBR,1532530222
Libya,LBY,
St. Lucia,LCA,1246448763
Latin America & Caribbean (all income levels),LCN,5639759431253
Least developed countries: UN classification,LDC,667439936621
Low income,LIC,497386553566
Liechtenstein,LIE,
Sri Lanka,LKA,59337997414
Lower middle income,LMC,4794773960409
Low & middle income,LMY,21972906799624
Lesotho,LSO,2823314914
Lithuania,LTU,41288629861
Luxembourg,LUX,38061027221
Latvia,LVA,28598322676
Macao SAR China,MAC,
St. Martin (French part),MAF,
Morocco,MAR,97929531497
Monaco,MCO,
Moldova,MDA,7374713190
Madagascar,MDG,9651250900
Maldives,MDV,1947126090
Middle East & North Africa (all income levels),MEA,
Mexico,MEX,1165050319352
Marshall Islands,MHL,212443844
Middle income,MIC,21464754986287
Macedonia FYR,MKD,9732003702
Mali,MLI,9754179643
Malta,MLT,8267759704
Myanmar,MMR,
Middle East & North Africa (developing only),MNA,
Montenegro,MNE,4485590598
Mongolia,MNG,8844336020
Northern Mariana Islands,MNP,
Mozambique,MOZ,12758835020
Mauritania,MRT,4208986006
Mauritius,MUS,11070383390
Malawi,MWI,5049937753
Malaysia,MYS,286995593679
North America,NAC,18213969893936
Namibia,NAM,12670929162
New Caledonia,NCL,
Niger,NER,6749346075
Nigeria,NGA,243696080867
Nicaragua,NIC,9892592530
Netherlands,NLD,804291405760
High income: nonOECD,NOC,4691999139595
Norway,NOR,496173452438
Nepal,NPL,19160190290
New Zealand,NZL,
High income: OECD,OEC,45173933314404
OECD members,OED,47263646245102
Oman,OMN,
Other small states,OSS,91582627502
Pakistan,PAK,225077428636
Panama,PAN,32351476998
Peru,PER,181784957715
Philippines,PHL,241671782574
Palau,PLW,204693673
Papua New Guinea,PNG,12800828495
Poland,POL,488006874924
Puerto Rico,PRI,66001732270
Korea Dem. Rep.,PRK,
Portugal,PRT,217036773501
Paraguay,PRY,22753899116
Pacific island small states,PSS,7071003689
French Polynesia,PYF,
Qatar,QAT,
Romania,ROU,188088221487
Russian Federation,RUS,1822654204989
Rwanda,RWA,6858242053
South Asia,SAS,2411976286043
Saudi Arabia,SAU,
Sudan,SDN,55898439203
Senegal,SEN,14195251502
Singapore,SGP,250779403663
Solomon Islands,SLB,620148199
Sierra Leone,SLE,3469706470
El Salvador,SLV,22623794902
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,38123461640
Sub-Saharan Africa (developing only),SSA,1229546827266
South Sudan,SSD,8595805833
Sub-Saharan Africa (all income levels),SSF,1239525356332
Small states,SST,160211765502
Sao Tome and Principe,STP,246593768
Suriname,SUR,4641871331
Slovak Republic,SVK,92961648847
Slovenia,SVN,46929611638
Sweden,SWE,532680374576
Swaziland,SWZ,3517658448
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1075813198
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,9616633688
Togo,TGO,3303691961
Thailand,THA,347843300157
Tajikistan,TJK,6868664546
Turkmenistan,TKM,27991218354
Timor-Leste,TLS,4382660088
Tonga,TON,442487552
Trinidad and Tobago,TTO,19672757654
Tunisia,TUN,44764846054
Turkey,TUR,801096838692
Tuvalu,TUV,55677530
Tanzania,TZA,26661217878
Uganda,UGA,15962679616
Ukraine,UKR,159646170315
Upper middle income,UMC,16680461715891
Uruguay,URY,46121826566
United States,USA,16430393311556
Uzbekistan,UZB,51161957787
St. Vincent and the Grenadines,VCT,699914215
Venezuela RB,VEN,373258366543
Virgin Islands (U.S.),VIR,
Vietnam,VNM,137524949098
Vanuatu,VUT,741434955
West Bank and Gaza,PSE,
World,WLD,71438935257053
Samoa,WSM,615036117
Yemen Rep.,YEM,30380308309
South Africa,ZAF,389765113426
Congo Dem. Rep.,COD,15426986735
Zambia,ZMB,19060182744
Zimbabwe,ZWE,8948268297
